indice_no,id_no,tipo_no,id_projeto,nome,latitude,longitude,ipi_final,posicao_ipi_final,posicao_shortlist_227A,snap_source_m,snap_destination_m,snap_max_m,classe_snap,nome_via_source,nome_via_destination,apto_matriz_operacional,motivo_qualidade_operacional,indice_no_original_228,indice_no_operacional
63,P_42333.42-65,projeto,42333.42-65,CR 799349/2013 - PAVIMENTAÇÃO E URBANIZAÇÃO DA VIA TURÍSTICA DENOMINADA AVENIDA GOVERNADOR CELSO RAMOS - PRAIA DE PEREQUÊ,-27.1493700231334,-48.57758,46.66666666666666,452.0,63,61.39586517,61.39586517,61.39586517,ate_100m,Avenida Senador Atílio Fontana,Avenida Senador Atílio Fontana,True,snap_ate_500m,63,62
64,P_108792.42-00,projeto,108792.42-00,Ampliação de Sistema de abastecimento de Agua do município de Ilhota - SC,-26.890234,-48.830703,46.66666666666666,408.0,64,3.28650486,3.28650486,3.28650486,ate_100m,Rua João Carlos Gretter,Rua João Carlos Gretter,True,snap_ate_500m,64,63
65,P_136087.42-31,projeto,136087.42-31,OBRAS DE MELHORAMENTO FLUVIAL NO CANAL RETIFICADO DO RIO ITAJAÍ MIRIM NO MUNICÍPIO DE ITAJAÍ EM SANTA CATARINA.,-26.9029200227133,-48.68097,40.0,665.0,65,6.420857087,6.420857087,6.420857087,ate_100m,Rua José Pinto d'Amaral,Rua José Pinto d'Amaral,True,snap_ate_500m,65,64
66,P_6250.42-96,projeto,6250.42-96,Contratação de projeto elétrico para a DPF/IJI/SC,-26.9055800227178,-48.65537,40.0,500.0,66,18.53543034,18.53543034,18.53543034,ate_100m,Rua Lauro Müller,Rua Lauro Müller,True,snap_ate_500m,66,65
67,P_25377.42-07,projeto,25377.42-07,Contratação de execução da substituição parcial da cobertura da Delegacia de Polícia Federal em Itajaí/SC (DPF/IJI/SC),-26.9001900227086,-48.67029,40.0,474.0,67,27.5154103,27.5154103,27.5154103,ate_100m,Rua Pedro Antônio Fayal,Rua Pedro Antônio Fayal,True,snap_ate_500m,67,66
68,P_101337.42-43,projeto,101337.42-43,Implantação do Parque Inundável Multiuso de Camboriú - SC,-27.04149,-48.68331,33.333333333333336,1112.0,68,176.524421,176.524421,176.524421,100a500m,Rua José João Custódio,Rua José João Custódio,True,snap_ate_500m,68,67
69,P_96874.42-18,projeto,96874.42-18,EXECUÇÃO DE OBRAS E ENGENHARIA DE PAVIMENTAÇÃO ASFALTÁTICA E INFRAESTRUTURA VIÁRIA,-27.07167,-48.71139,33.333333333333336,1217.0,69,3.274214354,3.274214354,3.274214354,ate_100m,Rua Manoel Gaspar da Cruz,Rua Manoel Gaspar da Cruz,True,snap_ate_500m,69,68
70,P_127973.42-68,projeto,127973.42-68,Sedec - Recuperação de Infraestrutura afetada por desastre 59050.001342/2011-65,-27.0561100229744,-48.68351,26.666666666666668,1522.0,70,4.53239728,4.53239728,4.53239728,ate_100m,Estrada Paulo Dallago,Estrada Paulo Dallago,True,snap_ate_500m,70,69
71,P_47268.42-66,projeto,47268.42-66,CONSTRUÇÃO DE UNIDADE DE PRONTO ATENDIMENTO - PORTE I,-27.1525527,-48.5085336,53.333333333333336,191.0,71,12.771731,12.771731,12.771731,ate_100m,Avenida Falcão,Avenida Falcão,True,snap_ate_500m,71,70
72,P_16870.42-72,projeto,16870.42-72,Pavimentação de Vias Urbanas no Municipio de Canelinha,-27.26884,-48.76408,53.333333333333336,169.0,72,5.486111505,5.486111505,5.486111505,ate_100m,Rua Juvêncio Mafra,Rua Juvêncio Mafra,True,snap_ate_500m,72,71
74,P_1314.42-81,projeto,1314.42-81,16 00355/2014,-26.8964721,-48.92166243,46.66666666666666,447.0,74,9.677805108,9.677805108,9.677805108,ate_100m,Rodovia Ingo Hering,Rodovia Ingo Hering,True,snap_ate_500m,74,72
75,P_91244.43-16,projeto,91244.43-16,Sedec - Recuperação de Infraestrutura afetada por desastre 59053.000041/2016-07,-26.8974400227039,-48.64918,40.0,625.0,75,15.87158606,15.87158606,15.87158606,ate_100m,Rua Arnaldo Passos,Rua Arnaldo Passos,True,snap_ate_500m,75,73
76,P_24552.42-68,projeto,24552.42-68,Recuperação e pavimentação de estradas vicinais,-27.28249,-48.72808,46.66666666666666,360.0,76,4.449973772,4.449973772,4.449973772,ate_100m,Rua Jander Steil,Rua Jander Steil,True,snap_ate_500m,76,74
77,P_47820.42-05,projeto,47820.42-05,REFORMA DE UNIDADE BÁSICA DE SAÚDE,-27.23658,-48.62179,40.0,558.0,77,1.404387897,1.404387897,1.404387897,ate_100m,Rua Lauro Müller,Rua Lauro Müller,True,snap_ate_500m,77,75
78,P_17858.42-68,projeto,17858.42-68,"Qualificação viária - Drenagem, pavimentação, calçadas e sinalização viária no município de Balneário Piçarras",-26.7641,-48.68106,40.0,516.0,78,24.49919057,24.49919057,24.49919057,ate_100m,,,True,snap_ate_500m,78,76
79,P_39844.42-23,projeto,39844.42-23,Construção de Escola em Tempo Integral Navegantes/SC FNDE  Escola 13 salas,-26.87576,-48.65515,40.0,716.0,79,25.14309977,25.14309977,25.14309977,ate_100m,Rua Divo Caetano Lopes,Rua Divo Caetano Lopes,True,snap_ate_500m,79,77
